fecha;total
12/3/2023;774736
11/3/2023;1205631
10/3/2023;1880140
9/3/2023;1789701
8/3/2023;1631936
7/3/2023;1808925
6/3/2023;1847770
5/3/2023;827338
4/3/2023;1391262
3/3/2023;2089018
2/3/2023;2054748
1/3/2023;2120237
28/2/2023;3025236
27/2/2023;1888598
26/2/2023;739730
25/2/2023;1047262
24/2/2023;2034468
23/2/2023;1570624
22/2/2023;1785702
21/2/2023;720758
20/2/2023;711482
19/2/2023;673375
18/2/2023;915136
17/2/2023;1878466
16/2/2023;1976668
15/2/2023;1825413
14/2/2023;1770565
13/2/2023;1746825
12/2/2023;757864
11/2/2023;1048389
10/2/2023;1945378
9/2/2023;1630041
8/2/2023;2209404
7/2/2023;1721139
6/2/2023;1156351
5/2/2023;713155
4/2/2023;1376779
3/2/2023;1982549
2/2/2023;1829311
1/2/2023;1917632
31/1/2023;2388856
30/1/2023;2360098
29/1/2023;712299
28/1/2023;967080
27/1/2023;2069044
26/1/2023;1478887
25/1/2023;1393853
24/1/2023;1443814
23/1/2023;1751348
22/1/2023;700828
21/1/2023;1006307
20/1/2023;1806280
19/1/2023;1984401
18/1/2023;1513414
17/1/2023;1587770
16/1/2023;1882723
15/1/2023;783014
14/1/2023;1033026
13/1/2023;1868999
12/1/2023;1443477
11/1/2023;1490378
10/1/2023;1489405
9/1/2023;1562013
8/1/2023;710366
7/1/2023;1002486
6/1/2023;1633295
5/1/2023;2155137
4/1/2023;1630952
3/1/2023;2026330
2/1/2023;850657
1/1/2023;433157
31/12/2022;1120495
30/12/2022;2120796
29/12/2022;1959562
28/12/2022;1710614
27/12/2022;1794410
26/12/2022;1048503
25/12/2022;547505
24/12/2022;1203129
23/12/2022;1999764
22/12/2022;2172358
21/12/2022;2203926
20/12/2022;2095767
19/12/2022;2954034
18/12/2022;887948
17/12/2022;1313551
16/12/2022;2251261
15/12/2022;2508239
14/12/2022;2107715
13/12/2022;1775981
12/12/2022;1743968
11/12/2022;846627
10/12/2022;1097126
9/12/2022;1842968
8/12/2022;1894652
7/12/2022;2338323
6/12/2022;1773768
5/12/2022;1650688
4/12/2022;840632
3/12/2022;1171491
2/12/2022;2104484
1/12/2022;2328072
30/11/2022;2064212
29/11/2022;1760346
28/11/2022;2206975
27/11/2022;754327
26/11/2022;988743
25/11/2022;2451003
24/11/2022;1621673
23/11/2022;1743760
22/11/2022;1712015
21/11/2022;1550792
20/11/2022;701411
19/11/2022;1413737
18/11/2022;2317287
17/11/2022;1677916
16/11/2022;1754417
15/11/2022;1870256
14/11/2022;1802205
13/11/2022;751240
12/11/2022;1068059
11/11/2022;1729611
10/11/2022;1927806
9/11/2022;2028529
8/11/2022;1790926
7/11/2022;1758118
6/11/2022;726274
5/11/2022;800017
4/11/2022;868532
3/11/2022;1221721
2/11/2022;2091549
1/11/2022;1939469
31/10/2022;1936796
30/10/2022;765422
29/10/2022;1051720
28/10/2022;1736297
27/10/2022;1604431
26/10/2022;1644967
25/10/2022;1385105
24/10/2022;1541800
23/10/2022;862728
22/10/2022;988697
21/10/2022;1618594
20/10/2022;1768894
19/10/2022;1845521
18/10/2022;1625591
17/10/2022;1948820
16/10/2022;795869
15/10/2022;1083913
14/10/2022;1936360
13/10/2022;1564079
12/10/2022;1489944
11/10/2022;1654009
10/10/2022;888054
9/10/2022;666835
8/10/2022;1006079
7/10/2022;1714683
6/10/2022;1784264
5/10/2022;1786666
4/10/2022;1717000
3/10/2022;2149492
2/10/2022;902821
1/10/2022;1306033
30/9/2022;2052759
29/9/2022;1688328
28/9/2022;1676213
27/9/2022;1406047
26/9/2022;1415911
25/9/2022;667437
24/9/2022;874501
23/9/2022;1464466
22/9/2022;1507628
21/9/2022;1705570
20/9/2022;1509154
19/9/2022;1557525
18/9/2022;801486
17/9/2022;1029696
16/9/2022;1907946
15/9/2022;1838345
14/9/2022;1479122
13/9/2022;1467357
12/9/2022;1741787
11/9/2022;721830
10/9/2022;1022161
9/9/2022;1561149
8/9/2022;1697785
7/9/2022;1725777
6/9/2022;1909595
5/9/2022;1858022
4/9/2022;819589
3/9/2022;1257346
2/9/2022;1849571
1/9/2022;1985283
31/8/2022;2276613
30/8/2022;1790307
29/8/2022;1643222
28/8/2022;701892
27/8/2022;1144933
26/8/2022;1591707
25/8/2022;1581727
24/8/2022;1429038
23/8/2022;1448078
22/8/2022;1549936
21/8/2022;749615
20/8/2022;1049002
19/8/2022;2219748
18/8/2022;1716795
17/8/2022;1601816
16/8/2022;1979959
15/8/2022;1944211
14/8/2022;748958
13/8/2022;856834
12/8/2022;1136887
11/8/2022;1934010
10/8/2022;1709257
9/8/2022;1602212
8/8/2022;1677793
7/8/2022;732346
6/8/2022;1082562
5/8/2022;1929504
4/8/2022;1869149
3/8/2022;1635300
2/8/2022;1865300
1/8/2022;2073161
31/7/2022;850430
30/7/2022;1144730
29/7/2022;2078696
28/7/2022;1896173
27/7/2022;1649212
26/7/2022;1409309
25/7/2022;1467301
24/7/2022;684380
23/7/2022;905525
22/7/2022;1623304
21/7/2022;1674954
20/7/2022;2172574
19/7/2022;1486582
18/7/2022;1920720
17/7/2022;765329
16/7/2022;1163160
15/7/2022;1829040
14/7/2022;1674953
13/7/2022;1521987
12/7/2022;1615235
11/7/2022;1825199
10/7/2022;805547
9/7/2022;1018447
8/7/2022;1749679
7/7/2022;2049581
6/7/2022;2099135
5/7/2022;1806987
4/7/2022;1885113
3/7/2022;967618
2/7/2022;1216130
1/7/2022;2156954
30/6/2022;2029763
29/6/2022;1624744
28/6/2022;1550058
27/6/2022;1370614
26/6/2022;710784
25/6/2022;1017516
24/6/2022;1360602
23/6/2022;1425372
22/6/2022;1511484
21/6/2022;1408503
20/6/2022;1507540
19/6/2022;721530
18/6/2022;1153555
17/6/2022;1786873
16/6/2022;1702555
15/6/2022;1712274
14/6/2022;1647857
